location_,status_,temperature_mean,temperature_min,temperature_max,pressure_mean,pressure_min,pressure_max,vibration_mean,vibration_min,vibration_max,sensor_id_count
Amberbury,maintenance,20.65,20.65,20.65,1014.32,1014.32,1014.32,0.105,0.105,0.105,1
Andrewhaven,maintenance,20.92,20.92,20.92,1017.77,1017.77,1017.77,0.369,0.369,0.369,1
Baileystad,maintenance,26.99,26.99,26.99,988.44,988.44,988.44,0.218,0.218,0.218,1
Barbaratown,error,30.41,30.41,30.41,1000.45,1000.45,1000.45,0.495,0.495,0.495,1
Bowmanborough,error,30.35,30.35,30.35,1004.99,1004.99,1004.99,0.886,0.886,0.886,1
Briannaview,active,30.74,30.74,30.74,1017.18,1017.18,1017.18,0.837,0.837,0.837,1
Charlesside,maintenance,31.93,31.93,31.93,1006.67,1006.67,1006.67,0.711,0.711,0.711,1
Christophermouth,error,22.13,22.13,22.13,987.78,987.78,987.78,0.277,0.277,0.277,1
Davidfort,maintenance,22.22,22.22,22.22,984.16,984.16,984.16,0.833,0.833,0.833,1
Deanside,error,26.32,26.32,26.32,994.22,994.22,994.22,0.203,0.203,0.203,1
East Christina,error,33.81,33.81,33.81,992.02,992.02,992.02,0.861,0.861,0.861,1
East Douglasberg,maintenance,28.02,28.02,28.02,1003.11,1003.11,1003.11,0.993,0.993,0.993,1
East Garyburgh,error,31.2,31.2,31.2,999.63,999.63,999.63,0.949,0.949,0.949,1
East Kristin,active,29.75,29.75,29.75,1010.14,1010.14,1010.14,0.136,0.136,0.136,1
East Nancy,error,21.84,21.84,21.84,987.92,987.92,987.92,0.365,0.365,0.365,1
East Shaun,maintenance,24.21,24.21,24.21,1017.89,1017.89,1017.89,0.032,0.032,0.032,1
East Taylorton,active,23.07,23.07,23.07,987.95,987.95,987.95,0.611,0.611,0.611,1
East Todd,active,25.56,25.56,25.56,981.26,981.26,981.26,0.769,0.769,0.769,1
Franklinstad,active,29.61,29.61,29.61,986.15,986.15,986.15,0.186,0.186,0.186,1
Gloverstad,error,33.97,33.97,33.97,1013.9,1013.9,1013.9,0.419,0.419,0.419,1
Hannahberg,active,29.07,29.07,29.07,1012.91,1012.91,1012.91,0.334,0.334,0.334,1
Hayesside,active,21.71,21.71,21.71,991.87,991.87,991.87,0.329,0.329,0.329,1
Jamesbury,active,25.9,25.9,25.9,982.63,982.63,982.63,0.317,0.317,0.317,1
Jamieshire,maintenance,29.21,29.21,29.21,1006.04,1006.04,1006.04,0.221,0.221,0.221,1
Jennifertown,error,29.28,29.28,29.28,1013.99,1013.99,1013.99,0.752,0.752,0.752,1
Johnnymouth,error,33.77,33.77,33.77,981.69,981.69,981.69,0.821,0.821,0.821,1
Johnsonfort,error,31.68,31.68,31.68,982.08,982.08,982.08,0.973,0.973,0.973,1
Johnstad,active,22.01,22.01,22.01,1018.9,1018.9,1018.9,0.112,0.112,0.112,1
Joshuabury,maintenance,23.45,23.45,23.45,1000.71,1000.71,1000.71,0.712,0.712,0.712,1
Karenfurt,error,30.38,30.38,30.38,1000.67,1000.67,1000.67,0.398,0.398,0.398,1
Kathleenmouth,error,32.26,32.26,32.26,987.34,987.34,987.34,0.605,0.605,0.605,1
Kirkland,maintenance,27.12,27.12,27.12,988.33,988.33,988.33,0.384,0.384,0.384,1
Lake David,error,29.88,29.88,29.88,1002.14,1002.14,1002.14,0.066,0.066,0.066,1
