location_,status_,temperature_mean,temperature_min,temperature_max,pressure_mean,pressure_min,pressure_max,vibration_mean,vibration_min,vibration_max,sensor_id_count
Alyssabury,active,26.26,26.26,26.26,996.63,996.63,996.63,0.046,0.046,0.046,1
Brockview,error,21.34,21.34,21.34,994.42,994.42,994.42,0.072,0.072,0.072,1
Byrdton,error,27.44,27.44,27.44,980.39,980.39,980.39,0.593,0.593,0.593,1
Carlmouth,active,32.18,32.18,32.18,991.36,991.36,991.36,0.204,0.204,0.204,1
Charlestown,maintenance,31.65,31.65,31.65,985.15,985.15,985.15,0.949,0.949,0.949,1
Cruzberg,error,33.2,33.2,33.2,998.28,998.28,998.28,0.335,0.335,0.335,1
East Brianland,active,31.13,31.13,31.13,987.14,987.14,987.14,0.699,0.699,0.699,1
East Kaitlynchester,active,27.63,27.63,27.63,1000.34,1000.34,1000.34,0.414,0.414,0.414,1
East Michael,active,23.28,23.28,23.28,993.46,993.46,993.46,0.306,0.306,0.306,1
East Rhonda,active,27.1,27.1,27.1,998.75,998.75,998.75,0.757,0.757,0.757,1
East Samuelmouth,error,33.58,33.58,33.58,1003.46,1003.46,1003.46,0.202,0.202,0.202,1
East Timothy,maintenance,25.28,25.28,25.28,1016.16,1016.16,1016.16,0.737,0.737,0.737,1
Ericfort,active,21.04,21.04,21.04,980.66,980.66,980.66,0.773,0.773,0.773,1
Frankfort,active,26.59,26.59,26.59,997.25,997.25,997.25,0.303,0.303,0.303,1
Ginaside,maintenance,26.33,26.33,26.33,998.37,998.37,998.37,0.187,0.187,0.187,1
Hancocktown,active,22.68,22.68,22.68,1019.11,1019.11,1019.11,0.275,0.275,0.275,1
Hernandezton,active,30.79,30.79,30.79,1009.78,1009.78,1009.78,0.653,0.653,0.653,1
Hudsonhaven,active,32.85,32.85,32.85,1017.65,1017.65,1017.65,0.005,0.005,0.005,1
Jenniferhaven,error,32.28,32.28,32.28,1007.26,1007.26,1007.26,0.233,0.233,0.233,1
Jessicachester,active,28.97,28.97,28.97,998.52,998.52,998.52,0.52,0.52,0.52,1
Jimmyberg,error,34.56,34.56,34.56,999.15,999.15,999.15,0.966,0.966,0.966,1
Johnsontown,active,21.42,21.42,21.42,995.7,995.7,995.7,0.156,0.156,0.156,1
Kelleyborough,active,33.24,33.24,33.24,990.38,990.38,990.38,0.507,0.507,0.507,1
Kevinstad,error,29.9,29.9,29.9,981.71,981.71,981.71,0.561,0.561,0.561,1
Kylebury,active,33.51,33.51,33.51,999.2,999.2,999.2,0.276,0.276,0.276,1
Lake Adrian,maintenance,32.96,32.96,32.96,992.33,992.33,992.33,0.723,0.723,0.723,1
Lake Brian,maintenance,33.07,33.07,33.07,995.38,995.38,995.38,0.947,0.947,0.947,1
Lake Garrettton,active,27.21,27.21,27.21,1003.23,1003.23,1003.23,0.638,0.638,0.638,1
Lake Hannah,maintenance,20.06,20.06,20.06,995.76,995.76,995.76,0.346,0.346,0.346,1
Lake Michael,error,32.13,32.13,32.13,1006.2,1006.2,1006.2,0.251,0.251,0.251,1
Lake Patricia,maintenance,20.66,20.66,20.66,984.69,984.69,984.69,0.388,0.388,0.388,1
Lake Robert,active,30.2,30.2,30.2,984.46,984.46,984.46,0.474,0.474,0.474,1
Lake Stacey,maintenance,25.15,25.15,25.15,1009.9,1009.9,1009.9,0.992,0.992,0.992,1
Lake Tinaton,maintenance,21.71,21.71,21.71,982.79,982.79,982.79,0.675,0.675,0.675,1
Lisafurt,maintenance,24.31,24.31,24.31,1010.3,1010.3,1010.3,0.643,0.643,0.643,1
Lowefurt,maintenance,26.87,26.87,26.87,1017.36,1017.36,1017.36,0.688,0.688,0.688,1
Lyonston,active,25.95,25.95,25.95,982.35,982.35,982.35,0.614,0.614,0.614,1
Martinhaven,active,22.08,22.08,22.08,1000.33,1000.33,1000.33,0.118,0.118,0.118,1
Mcbridemouth,active,32.15,32.15,32.15,1000.79,1000.79,1000.79,0.452,0.452,0.452,1
Mckenziefurt,maintenance,27.2,27.2,27.2,1002.59,1002.59,1002.59,0.051,0.051,0.051,1
Mcneilton,maintenance,21.46,21.46,21.46,998.03,998.03,998.03,0.238,0.238,0.238,1
Moniquechester,error,32.18,32.18,32.18,1008.93,1008.93,1008.93,0.031,0.031,0.031,1
Murrayshire,active,28.2,28.2,28.2,1006.27,1006.27,1006.27,0.259,0.259,0.259,1
New Gailview,active,22.06,22.06,22.06,1011.4,1011.4,1011.4,0.826,0.826,0.826,1
New Jenniferland,active,33.99,33.99,33.99,1003.27,1003.27,1003.27,0.512,0.512,0.512,1
New Kellyton,maintenance,24.07,24.07,24.07,993.85,993.85,993.85,0.345,0.345,0.345,1
New Mary,maintenance,33.58,33.58,33.58,1009.54,1009.54,1009.54,0.755,0.755,0.755,1
New Philipmouth,maintenance,32.68,32.68,32.68,984.99,984.99,984.99,0.565,0.565,0.565,1
Nicholasmouth,error,32.66,32.66,32.66,996.87,996.87,996.87,0.052,0.052,0.052,1
North April,active,20.27,20.27,20.27,989.46,989.46,989.46,0.6,0.6,0.6,1
North Elizabeth,error,30.43,30.43,30.43,1004.09,1004.09,1004.09,0.311,0.311,0.311,1
North Heather,error,32.23,32.23,32.23,997.67,997.67,997.67,0.963,0.963,0.963,1
North Jenniferfort,active,33.65,33.65,33.65,991.27,991.27,991.27,0.846,0.846,0.846,1
North Matthew,maintenance,22.29,22.29,22.29,990.92,990.92,990.92,0.075,0.075,0.075,1
North Sheliaburgh,active,30.9,30.9,30.9,993.62,993.62,993.62,0.505,0.505,0.505,1
North Tonya,maintenance,30.41,30.41,30.41,986.67,986.67,986.67,0.222,0.222,0.222,1
North William,maintenance,26.3,26.3,26.3,1004.98,1004.98,1004.98,0.652,0.652,0.652,1
Obrienfurt,maintenance,25.4,25.4,25.4,985.11,985.11,985.11,0.958,0.958,0.958,1
Port Angela,maintenance,33.2,33.2,33.2,993.05,993.05,993.05,0.701,0.701,0.701,1
Port Christopherfort,error,27.75,27.75,27.75,1003.77,1003.77,1003.77,0.644,0.644,0.644,1
Port Davidmouth,active,31.05,31.05,31.05,1011.8,1011.8,1011.8,0.035,0.035,0.035,1
Port Dylanhaven,active,22.95,22.95,22.95,998.1,998.1,998.1,0.302,0.302,0.302,1
