location_,status_,temperature_mean,temperature_min,temperature_max,pressure_mean,pressure_min,pressure_max,vibration_mean,vibration_min,vibration_max,sensor_id_count
Alexanderfort,active,21.21,21.21,21.21,1010.42,1010.42,1010.42,0.631,0.631,0.631,1
Amyside,error,25.12,25.12,25.12,1003.07,1003.07,1003.07,0.616,0.616,0.616,1
Ayersstad,maintenance,25.72,25.72,25.72,984.57,984.57,984.57,0.0,0.0,0.0,1
Barrerashire,error,24.51,24.51,24.51,1006.79,1006.79,1006.79,0.337,0.337,0.337,1
Bellville,error,32.88,32.88,32.88,1003.77,1003.77,1003.77,0.098,0.098,0.098,1
Benderview,maintenance,34.5,34.5,34.5,981.89,981.89,981.89,0.645,0.645,0.645,1
Brandonshire,maintenance,27.24,27.24,27.24,987.01,987.01,987.01,0.092,0.092,0.092,1
Brownberg,maintenance,33.1,33.1,33.1,995.43,995.43,995.43,0.837,0.837,0.837,1
Bryantborough,active,31.21,31.21,31.21,995.84,995.84,995.84,0.977,0.977,0.977,1
Cantushire,active,26.87,26.87,26.87,996.68,996.68,996.68,0.606,0.606,0.606,1
Christineshire,active,30.04,30.04,30.04,993.89,993.89,993.89,0.889,0.889,0.889,1
Christopherfort,active,33.09,33.09,33.09,991.22,991.22,991.22,0.318,0.318,0.318,1
Crawfordstad,active,33.97,33.97,33.97,986.18,986.18,986.18,0.652,0.652,0.652,1
Crosbymouth,maintenance,20.71,20.71,20.71,1019.51,1019.51,1019.51,0.437,0.437,0.437,1
Devinfurt,maintenance,24.11,24.11,24.11,982.66,982.66,982.66,0.267,0.267,0.267,1
Dickersonhaven,error,31.92,31.92,31.92,1017.04,1017.04,1017.04,0.319,0.319,0.319,1
Donaldmouth,maintenance,26.19,26.19,26.19,1010.58,1010.58,1010.58,0.147,0.147,0.147,1
East Alyssaville,active,27.96,27.96,27.96,986.93,986.93,986.93,0.621,0.621,0.621,1
East Ashley,active,23.76,23.76,23.76,994.07,994.07,994.07,0.461,0.461,0.461,1
East Donna,maintenance,31.98,31.98,31.98,1006.22,1006.22,1006.22,0.157,0.157,0.157,1
