location_,status_,temperature_mean,temperature_min,temperature_max,pressure_mean,pressure_min,pressure_max,vibration_mean,vibration_min,vibration_max,sensor_id_count
Armstrongport,error,30.67,30.67,30.67,980.1,980.1,980.1,0.619,0.619,0.619,1
Brittneyburgh,active,22.52,22.52,22.52,993.34,993.34,993.34,0.912,0.912,0.912,1
Browntown,error,27.81,27.81,27.81,1017.09,1017.09,1017.09,0.978,0.978,0.978,1
Bryanville,error,23.02,23.02,23.02,1015.2,1015.2,1015.2,0.211,0.211,0.211,1
Cruzland,active,27.76,27.76,27.76,1017.07,1017.07,1017.07,0.697,0.697,0.697,1
Davenportmouth,error,29.74,29.74,29.74,987.85,987.85,987.85,0.469,0.469,0.469,1
Donaldport,error,32.64,32.64,32.64,994.52,994.52,994.52,0.072,0.072,0.072,1
Dustinborough,error,22.16,22.16,22.16,985.69,985.69,985.69,0.513,0.513,0.513,1
East Alexisshire,maintenance,31.66,31.66,31.66,1003.52,1003.52,1003.52,0.833,0.833,0.833,1
East Brianshire,active,32.84,32.84,32.84,995.32,995.32,995.32,0.395,0.395,0.395,1
East Jessica,active,30.59,30.59,30.59,1012.59,1012.59,1012.59,0.665,0.665,0.665,1
East Josephbury,error,20.9,20.9,20.9,1007.86,1007.86,1007.86,0.952,0.952,0.952,1
East Margaret,maintenance,31.73,31.73,31.73,1011.57,1011.57,1011.57,0.166,0.166,0.166,1
East Nathan,maintenance,21.36,21.36,21.36,1011.6,1011.6,1011.6,0.023,0.023,0.023,1
East Sharon,active,23.17,23.17,23.17,1008.13,1008.13,1008.13,0.505,0.505,0.505,1
Ericside,error,29.84,29.84,29.84,1003.95,1003.95,1003.95,0.073,0.073,0.073,1
Georgeland,error,20.9,20.9,20.9,1010.97,1010.97,1010.97,0.317,0.317,0.317,1
Ginafurt,error,30.94,30.94,30.94,1003.71,1003.71,1003.71,0.359,0.359,0.359,1
Grantview,active,29.41,29.41,29.41,990.24,990.24,990.24,0.952,0.952,0.952,1
Hallborough,maintenance,34.15,34.15,34.15,1017.42,1017.42,1017.42,0.676,0.676,0.676,1
Harpershire,active,25.89,25.89,25.89,1006.86,1006.86,1006.86,0.505,0.505,0.505,1
Harrisshire,active,31.0,31.0,31.0,995.6,995.6,995.6,0.36,0.36,0.36,1
