location_,status_,temperature_mean,temperature_min,temperature_max,pressure_mean,pressure_min,pressure_max,vibration_mean,vibration_min,vibration_max,sensor_id_count
Austinburgh,error,27.43,27.43,27.43,1019.53,1019.53,1019.53,0.837,0.837,0.837,1
Austinland,active,34.47,34.47,34.47,987.57,987.57,987.57,0.2,0.2,0.2,1
Brianton,error,31.74,31.74,31.74,994.35,994.35,994.35,0.093,0.093,0.093,1
Brittanyville,active,30.34,30.34,30.34,1008.54,1008.54,1008.54,0.46,0.46,0.46,1
Campbellland,active,24.3,24.3,24.3,1009.26,1009.26,1009.26,0.522,0.522,0.522,1
Charlesland,maintenance,33.65,33.65,33.65,991.86,991.86,991.86,0.617,0.617,0.617,1
Christineview,error,27.11,27.11,27.11,989.14,989.14,989.14,0.324,0.324,0.324,1
Collinsborough,active,30.22,30.22,30.22,999.58,999.58,999.58,0.912,0.912,0.912,1
Davidburgh,error,20.95,20.95,20.95,1008.9,1008.9,1008.9,0.569,0.569,0.569,1
Davisfort,active,32.87,32.87,32.87,1017.33,1017.33,1017.33,0.937,0.937,0.937,1
Dillonchester,error,20.67,20.67,20.67,1005.1,1005.1,1005.1,0.294,0.294,0.294,1
East Brent,maintenance,23.45,23.45,23.45,980.27,980.27,980.27,0.002,0.002,0.002,1
East Briannaside,active,25.82,25.82,25.82,996.4,996.4,996.4,0.235,0.235,0.235,1
East Debraport,error,20.59,20.59,20.59,988.43,988.43,988.43,0.102,0.102,0.102,1
East Jennifer,error,23.73,23.73,23.73,991.36,991.36,991.36,0.545,0.545,0.545,1
East Kristen,active,22.88,22.88,22.88,991.49,991.49,991.49,0.691,0.691,0.691,1
East Shawn,active,21.93,21.93,21.93,991.11,991.11,991.11,0.286,0.286,0.286,1
East Sheristad,active,34.48,34.48,34.48,1017.2,1017.2,1017.2,0.852,0.852,0.852,1
Gomezland,maintenance,29.39,29.39,29.39,1005.48,1005.48,1005.48,0.382,0.382,0.382,1
Grantfort,active,30.59,30.59,30.59,1009.01,1009.01,1009.01,0.581,0.581,0.581,1
Griffinstad,error,23.66,23.66,23.66,994.1,994.1,994.1,0.616,0.616,0.616,1
Hardingside,error,27.56,27.56,27.56,1008.85,1008.85,1008.85,0.507,0.507,0.507,1
Hillmouth,maintenance,20.92,20.92,20.92,1008.84,1008.84,1008.84,0.97,0.97,0.97,1
Hilltown,active,22.98,22.98,22.98,1004.71,1004.71,1004.71,0.739,0.739,0.739,1
Hutchinsonbury,error,31.35,31.35,31.35,997.33,997.33,997.33,0.065,0.065,0.065,1
Isabellamouth,maintenance,23.93,23.93,23.93,1018.88,1018.88,1018.88,0.856,0.856,0.856,1
Jamesport,maintenance,25.68,25.68,25.68,1004.11,1004.11,1004.11,0.244,0.244,0.244,1
Jeffreyborough,error,30.39,30.39,30.39,990.29,990.29,990.29,0.317,0.317,0.317,1
Jensenbury,active,27.98,27.98,27.98,1005.66,1005.66,1005.66,0.125,0.125,0.125,1
Jeremyfurt,error,33.26,33.26,33.26,992.81,992.81,992.81,0.931,0.931,0.931,1
Johntown,active,25.65,25.65,25.65,989.14,989.14,989.14,0.096,0.096,0.096,1
Kelseybury,maintenance,32.81,32.81,32.81,1016.81,1016.81,1016.81,0.016,0.016,0.016,1
Lake Brendaside,maintenance,34.44,34.44,34.44,995.54,995.54,995.54,0.495,0.495,0.495,1
Lake Evelyn,error,22.26,22.26,22.26,995.69,995.69,995.69,0.008,0.008,0.008,1
Lake Terrence,error,28.43,28.43,28.43,999.46,999.46,999.46,0.635,0.635,0.635,1
Lake Xavier,maintenance,25.07,25.07,25.07,987.83,987.83,987.83,0.87,0.87,0.87,1
Lambertland,maintenance,23.61,23.61,23.61,1006.87,1006.87,1006.87,0.562,0.562,0.562,1
Lewistown,maintenance,26.06,26.06,26.06,1001.57,1001.57,1001.57,0.986,0.986,0.986,1
Longmouth,active,22.33,22.33,22.33,1012.53,1012.53,1012.53,0.482,0.482,0.482,1
Markport,maintenance,20.73,20.73,20.73,1012.99,1012.99,1012.99,0.231,0.231,0.231,1
